title,description,skills_text,education_requirement,responsibilities
Mobile App Developer,Mobile App Developer responsible for secure cloud environments and manage ci/cd pipelines.,"Spring Boot, CI/CD, SQL, Java, C++, GCP, Pandas, React",Master's in Data Science,"Write unit tests, Implement APIs, Automate workflows, Develop microservices, Secure cloud environments"
Backend Developer,Backend Developer responsible for collaborate with stakeholders and write unit tests.,"CI/CD, Node.js, NumPy, TensorFlow, Docker",Master's in Data Science,"Automate workflows, Implement APIs, Secure cloud environments"
Cloud Architect,Cloud Architect responsible for develop microservices and write unit tests.,"CI/CD, Spring Boot, React, Node.js, AWS",Bachelor's in Information Technology,"Secure cloud environments, Monitor system performance, Conduct data analysis"
Cybersecurity Analyst,Cybersecurity Analyst responsible for collaborate with stakeholders and conduct data analysis.,"React, JavaScript, NumPy, Pandas, Azure, Node.js",Bachelor's in Information Technology,"Collaborate with stakeholders, Automate workflows, Develop microservices, Design scalable systems"
Software Engineer,Software Engineer responsible for develop microservices and secure cloud environments.,"Spring Boot, Kubernetes, Python, Node.js, Docker, React, C++",Bachelor's in Information Technology,"Design scalable systems, Write unit tests, Manage CI/CD pipelines, Develop microservices, Automate workflows"
Mobile App Developer,Mobile App Developer responsible for monitor system performance and secure cloud environments.,"C++, AWS, Node.js, Java, Kubernetes, CI/CD, Pandas",Bachelor's in Information Technology,"Manage CI/CD pipelines, Secure cloud environments, Develop microservices"
Data Analyst,Data Analyst responsible for collaborate with stakeholders and implement apis.,"CI/CD, Azure, Python, REST APIs, GraphQL, JavaScript, Java",Bachelor's in Cybersecurity,"Collaborate with stakeholders, Automate workflows, Secure cloud environments, Develop microservices, Implement APIs"
DevOps Engineer,DevOps Engineer responsible for develop microservices and develop microservices.,"Python, NumPy, C++, Pandas, Kubernetes",Master's in Data Science,"Collaborate with stakeholders, Manage CI/CD pipelines, Automate workflows"
Backend Developer,Backend Developer responsible for conduct data analysis and conduct data analysis.,"AWS, GraphQL, NumPy, Python, Azure, GCP, NoSQL, CI/CD",Bachelor's in Cybersecurity,"Design scalable systems, Conduct data analysis, Monitor system performance"
DevOps Engineer,DevOps Engineer responsible for conduct data analysis and manage ci/cd pipelines.,"REST APIs, Pandas, Node.js, CI/CD, Spring Boot, JavaScript, SQL, React",Bachelor's in Computer Science,"Write unit tests, Design scalable systems, Monitor system performance"
